C5:1
CU1:1
CU10:1
CU11:1
CU12:1
CU2:1
CU3:1
CU5:1
CU6:1
CU7:1
CU8:1
CU9:1
D1:1
D10:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:3
H1:1
H2:1
H3:1
H4:1
H5:1
J21:1
J22:1
J24:1
J4:1
R1:1
R2:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R4:1
RV1:1
RV2:1
RV3:1
RV4:1
RV5:1
RV6:1
RV7:1
RV8:1
SW1:1
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW15:1
SW16:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
U1:1
U2:1
U3:1
VR1:1
VR2:1
VR3:1
VR4:1
VR5:1
VR6:1
VR7:1
VR8:1
