Designator,Mid X,Mid Y,Rotation,Layer
R106,71.203,-142.748,90.0,top
R107,73.68358,-64.148752,0.0,top
R108,78.613,-144.018,0.0,top
R109,70.96578,-55.004752,90.0,top
R11,85.598,-66.802,180.0,top
R110,75.946,-135.128,90.0,top
R111,78.613,-58.293,180.0,top
R112,84.836,-139.446,180.0,top
R115,80.772,-55.753,0.0,top
R116,84.836,-137.668,0.0,top
R117,123.952,-147.814938,90.0,top
R118,133.096,-53.316015,270.0,top
R119,133.096,-50.123108,270.0,top
R12,133.7564,-67.1576,0.0,top
R120,134.62,-147.865738,270.0,top
R121,134.5692,-143.852538,270.0,top
R122,134.874,-53.277,270.0,top
R123,136.4996,-147.814938,270.0,top
R124,138.178845,-47.377427,0.0,top
R125,139.2986,-142.3894,0.0,top
R126,141.732,-54.61,0.0,top
R127,142.9562,-149.603,0.0,top
R128,185.2168,-77.2404,90.0,top
R129,187.198,-67.7286,90.0,top
R13,112.4204,-67.7164,0.0,top
R130,199.39,-86.487,90.0,top
R131,204.216,-86.487,90.0,top
R132,183.134,-90.106,270.0,top
R133,187.325,-89.916,270.0,top
R134,191.389,-89.916,270.0,top
R135,193.4972,-90.1192,270.0,top
R136,156.2608,-67.7164,270.0,top
R137,165.3926,-70.2564,0.0,top
R138,168.5036,-73.3552,0.0,top
R139,165.3032,-73.3552,180.0,top
R14,130.753304,-68.874946,90.0,top
R140,201.2696,-90.7918,90.0,top
R141,212.2038,-90.9828,180.0,top
R142,181.9656,-66.1152,90.0,top
R143,230.9368,-61.468,180.0,top
R144,230.048036,-107.272283,0.0,top
R15,173.0248,-62.2808,90.0,top
R16,181.6608,-77.2282,270.0,top
R17,89.039223,-71.045777,180.0,top
R18,92.439223,-71.045777,180.0,top
R19,119.578304,-71.874946,90.0,top
R2,88.227649,-143.371578,270.0,top
R20,129.878304,-71.874946,0.0,top
R21,96.239423,-71.552977,90.0,top
R22,179.9844,-75.5904,270.0,top
R23,251.206,-94.488,180.0,top
R26,96.1483,-87.9856,0.0,top
R27,150.378304,-92.644946,180.0,top
R28,237.481677,-101.907351,0.0,top
R29,150.353304,-95.144946,180.0,top
R3,89.408,-60.681777,180.0,top
R30,238.476877,-104.396551,0.0,top
R31,236.993758,-105.796314,180.0,top
R32,234.232477,-107.376151,180.0,top
R33,164.5,-100.7,270.0,top
R34,167.3,-100.75,270.0,top
R35,170.125,-100.75,270.0,top
R36,172.126079,-104.912098,90.0,top
R37,150.815803,-107.194946,180.0,top
R38,150.865803,-109.794946,180.0,top
R4,124.878304,-62.274946,90.0,top
R40,96.500218,-110.330641,0.0,top
R41,203.962,-119.507,180.0,top
R42,166.9,-112.45,180.0,top
R43,169.85,-113.275,90.0,top
R44,172.55,-113.25,90.0,top
R45,226.06,-122.046,270.0,top
R46,166.9,-114.45,0.0,top
R47,222.821047,-130.67602,270.0,top
R48,202.375,-131.318,180.0,top
R49,93.359754,-124.444104,180.0,top
R5,166.806254,-62.314346,0.0,top
R50,82.423,-62.421,270.0,top
R51,96.5355,-126.069704,180.0,top
R52,129.1435,-126.3,90.0,top
R53,159.353304,-126.649946,0.0,top
R54,162.778304,-126.649946,0.0,top
R55,183.642,-66.103,90.0,top
R56,122.936,-49.681282,90.0,top
R58,87.63,-128.27,180.0,top
R59,100.7855,-129.413,270.0,top
R6,170.406254,-62.314346,0.0,top
R60,89.3826,-57.2008,0.0,top
R61,185.3184,-66.103,90.0,top
R62,108.966,-130.683,90.0,top
R63,139.5984,-130.464946,0.0,top
R64,104.013,-128.651,90.0,top
R65,135.426804,-132.164946,90.0,top
R66,158.478304,-133.974946,90.0,top
R67,166.8272,-128.6764,270.0,top
R68,124.251804,-135.164946,90.0,top
R69,134.551804,-135.164946,0.0,top
R7,166.116,-67.564,270.0,top
R70,92.5855,-135.636,180.0,top
R71,95.9855,-135.636,180.0,top
R72,123.952,-144.614538,90.0,top
R73,99.811354,-136.144,90.0,top
R74,159.766,-136.5504,180.0,top
R76,98.933,-125.285,90.0,top
R77,91.8464,-58.1538,90.0,top
R8,97.2566,-64.1604,90.0,top
R90,60.474,-64.262,0.0,top
R91,69.088,-132.08,0.0,top
R92,58.7986,-66.027,0.0,top
R93,66.548,-132.905,90.0,top
R94,122.936,-53.023,90.0,top
R95,63.119,-61.15,270.0,top
R96,63.373,-132.842,180.0,top
R97,66.040405,-45.636139,0.0,top
R98,66.015005,-47.312539,0.0,top
R99,66.015005,-48.912739,0.0,top
RV1,159.2004,-72.2884,90.0,top
RV10,105.156,-134.366,0.0,top
RV7,113.1316,-62.8396,180.0,top
SW1,77.216,-48.768,180.0,top
SW2,77.216,-149.606,180.0,top
SW3,235.658763,-134.829091,0.0,top
TP18,60.452,-100.584,0.0,top
TP20,127.43,-116.2,0.0,top
TP22,183.642,-121.793,0.0,top
TP23,201.0,-124.2624,0.0,top
TP26,57.662516,-133.381408,0.0,top
TP27,187.1472,-82.9056,0.0,top
TP28,57.658,-59.563,0.0,top
TP29,83.866648,-141.893311,0.0,top
TP30,82.886342,-59.089976,0.0,top
TP49,177.9524,-78.6892,0.0,top
TP5,142.110143,-71.201097,0.0,top
TP7,126.57,-80.58,0.0,top
TP8,147.85,-85.46,0.0,top
U1,213.741,-94.856,90.0,top
U10,232.116477,-103.806551,270.0,top
U11,168.225,-107.05,0.0,top
U12,156.440803,-109.159946,90.0,top
U13,96.5105,-130.8322,0.0,top
U14,130.076804,-131.099946,270.0,top
